t,SP,CV,P1,CVG1,G1,F1,CVG2,G2,dP2,F2,CVG12,G12,L11,L12,L21,L22,L31,L32,F3
85,0.2,33.5502830128334,208.486433022504,33.5502830128334,33.2923466374431,11.9231939485258,0,-0.0395443888862485,207.160681878627,0.00767009198805501,1,1,0.251029052710411,0.253149136579986,0.227469559608202,0.226962320897582,0.204153785615982,0.204252649666774,19.1155887832008
86,0.2,34.7353174842532,209.749463200116,34.7353174842532,34.7009216760767,11.5036301669892,0,-0.0210935854029978,208.788604620525,0.269560229340676,1,1,0.251902376844628,0.249813632710878,0.227203561708916,0.227172121278182,0.200652636155174,0.202536187787766,19.3102813519886
87,0.2,47.3308390065984,204.620796806516,47.3308390065984,45.9206197153286,12.1416482723961,0,0.0283314728485613,204.825114873324,-0.0551322855292881,1,1,0.249510671282832,0.250003328809419,0.226523413253039,0.226739138063903,0.204275060504294,0.203985670106655,19.363783286397
88,0.2,42.4070220702265,198.839698182447,42.4070220702265,43.485738808488,13.5126463225703,0,-0.0458661003306447,198.121882555879,-0.0386682513811164,1,1,0.250790541041389,0.249074412293184,0.226267671801739,0.226076907625298,0.201809330708454,0.20246142359621,19.1009681822902
89,0.2,43.5802544712602,200.378137004244,43.5802544712602,43.1572491874007,13.1563382854684,0,-0.0122092321090209,199.489714643237,-0.0156465592646119,1,1,0.250171925458115,0.249077886570933,0.225928951562026,0.225926385168083,0.202188218100758,0.202572806581736,19.1702353548751
90,0.2,44.8498357563744,198.134573411734,44.8498357563744,44.8433002187532,13.3166793522651,0,-0.00235182246410228,197.805899276641,-0.0288479326411157,1,1,0.249493294126487,0.25057203754427,0.226267971153712,0.226231621844286,0.201155807443309,0.202408063791001,19.1281227511797
91,0.2,47.3264371322249,196.686156065791,47.3264371322249,47.1131888525983,13.6479738098434,0,0.161149729822166,195.988498313696,0.191950720366499,1,1,0.252738244888277,0.250227034391411,0.225974119262776,0.225517942789992,0.203070681833337,0.202713607006576,19.0483020837294
92,0.2,41.7073940159255,196.695585258466,41.7073940159255,42.3473349679267,13.7808942263861,0,0.138893050168335,195.467777850451,-0.129758248287198,1,1,0.249940149887838,0.250160671056849,0.226233981062888,0.225816761574778,0.202784687323325,0.201636912220194,19.2019096984058
93,0.2,37.8328264857451,202.324269288969,37.8328264857451,38.0246398739973,12.8525326115859,0,0.101187816997772,201.086525484356,0.12009091052882,1,1,0.24976435115013,0.24889727054184,0.225806897894311,0.225662287804626,0.203272808873482,0.202691059572094,19.3772807149368
94,0.2,35.2704025846181,205.974214284339,35.2704025846181,35.4636567117895,12.1135943051187,0,0.0738290829230828,204.750448455759,0.266351596947955,1,1,0.248775566503398,0.250119022257119,0.226458117281744,0.225356131182093,0.203119138366484,0.201723463846342,19.0220647789044
95,0.2,34.6958716120324,209.413178369823,34.6958716120324,34.6673879717241,11.7071474904186,0,-0.0702728453844201,207.594312829613,-0.134165101300387,1,1,0.251931984472973,0.247017202617426,0.225619123152894,0.225306112257946,0.203706181438377,0.202775826874684,18.7212256429917
96,0.2,33.0722462412172,210.147552603763,33.0722462412172,33.1016592486238,11.4803762049287,0,-0.111576927013655,209.735806097019,-0.144930645042442,1,1,0.24932691699004,0.248077504458919,0.223966305696517,0.225370737471731,0.20258611950261,0.203265771624485,19.1221966037944
97,0.2,36.0196093534822,209.918908574775,36.0196093534822,35.6216530985659,11.4885294354185,0,-0.0818436666588751,209.289083404591,0.0692172773016329,1,1,0.246600600091361,0.247470588724829,0.224454188173749,0.223872357645456,0.201622047699969,0.201609572327478,19.148280531073
98,0.2,41.6914927519742,206.734086398941,41.6914927519742,41.1480316654383,12.0843430531525,0,-0.0603195819877686,206.015617543913,-0.0509026742390448,1,1,0.245561356067822,0.24704135572614,0.224054074947143,0.224434670929276,0.200687537442197,0.202539338693459,18.8897664548239
99,0.2,47.2205094321375,200.814049151013,47.2205094321375,46.7353457895377,13.1394683570622,0,0.0613509647114559,198.961033591016,0.194300400925471,1,1,0.246159825841432,0.244909368084446,0.223597251676991,0.22309149945636,0.202106653425341,0.200562459207505,19.0160209564797
100,0.2,43.9945947518027,197.235899738407,43.9945947518027,44.5468231166685,13.7832431021477,0,-0.220738295067055,195.966603064947,-0.102115800463885,1,1,0.245349292580343,0.246944747243081,0.223205017484552,0.222919796669662,0.200899905612138,0.200645783950021,19.0001325753779
101,0.2,44.1194344395854,197.723467222238,44.1194344395854,43.9635597853547,13.4794965682023,0,-0.0163057148934666,197.722104370704,-0.0762704790996009,1,1,0.246334945870705,0.246254419853042,0.223528351579742,0.223565638821544,0.199246553423928,0.200797535097197,19.2291039491979
102,0.2,50.3367621496635,195.378957772036,50.3367621496635,49.723925728812,13.9247368611027,0,-0.218965384008838,194.168924882211,0.0694407058788131,1,1,0.245694827267321,0.248279029667867,0.222651658130241,0.222969615634905,0.19848775310962,0.20269158242474,18.9620116566617
103,0.2,55.5656705798496,187.57925072978,55.5656705798496,55.3095051089075,15.2490320599091,0,0.0429448481201217,186.675625131581,-0.0875987300612019,1,1,0.247988582677141,0.247952769185207,0.223197864249707,0.222993071379049,0.199035424250582,0.200197861588514,19.0775343028665
104,0.2,54.3602969680443,182.662093432734,54.3602969680443,54.6433845860695,15.868087769861,0,-0.0753497940473902,182.144637330955,-0.0638127648077544,1,1,0.251075662702104,0.249537758203855,0.2237332934725,0.223522873863753,0.201606674664492,0.200793449153988,18.8606765944065
105,0.2,42.8392991262308,189.359640738114,42.8392991262308,43.972397566272,15.0235509886064,0,-0.0221993504357681,188.02178268541,0.0392156560148155,1,1,0.247847207323713,0.25094735947846,0.223602676554033,0.224321051411063,0.201547664842961,0.201954755773773,18.8524077542029
